          time,          i_l1,           i_r,          i_vs,            v1,            v2,          v_l1,            vr,            vs
  0.000000e+00,      0.049381,      0.049381,      0.049381,     10.000000,      9.753094,      9.753094,      0.246906,      9.995066
  1.000000e-04,      0.097462,      0.097462,      0.097462,      9.995066,      9.507756,      9.507756,      0.487309,      9.980267
  2.000000e-04,      0.144302,      0.144302,      0.144302,      9.980267,      9.258756,      9.258756,      0.721511,      9.955620
  3.000000e-04,      0.189876,      0.189876,      0.189876,      9.955620,      9.006239,      9.006239,      0.949381,      9.921147
  4.000000e-04,      0.234193,      0.234193,      0.234193,      9.921147,      8.750183,      8.750183,      1.170964,      9.876883
  5.000000e-04,      0.277167,      0.277167,      0.277167,      9.876883,      8.491046,      8.491046,      1.385837,      9.822873
  6.000000e-04,      0.318821,      0.318821,      0.318821,      9.822873,      8.228770,      8.228770,      1.594103,      9.759168
  7.000000e-04,      0.359137,      0.359137,      0.359137,      9.759168,      7.963483,      7.963483,      1.795684,      9.685832
  8.000000e-04,      0.398102,      0.398102,      0.398102,      9.685832,      7.695322,      7.695322,      1.990509,      9.602937
  9.000000e-04,      0.435708,      0.435708,      0.435708,      9.602937,      7.424397,      7.424397,      2.178540,      9.510565
  1.000000e-03,      0.471992,      0.471992,      0.471992,      9.510565,      7.150603,      7.150603,      2.359962,      9.408808
  1.100000e-03,      0.506846,      0.506846,      0.506846,      9.408808,      6.874579,      6.874579,      2.534228,      9.297765
  1.200000e-03,      0.540388,      0.540388,      0.540388,      9.297765,      6.595822,      6.595822,      2.701942,      9.177546
  1.300000e-03,      0.572380,      0.572380,      0.572380,      9.177546,      6.315646,      6.315646,      2.861900,      9.048271
  1.400000e-03,      0.602931,      0.602931,      0.602931,      9.048271,      6.033616,      6.033616,      3.014654,      8.910065
  1.500000e-03,      0.632073,      0.632073,      0.632073,      8.910065,      5.749699,      5.749699,      3.160367,      8.763067
  1.600000e-03,      0.659835,      0.659835,      0.659835,      8.763067,      5.463894,      5.463894,      3.299173,      8.607420
  1.700000e-03,      0.686163,      0.686163,      0.686163,      8.607420,      5.176607,      5.176607,      3.430814,      8.443279
  1.800000e-03,      0.711138,      0.711138,      0.711138,      8.443279,      4.887587,      4.887587,      3.555692,      8.270806
  1.900000e-03,      0.734452,      0.734452,      0.734452,      8.270806,      4.598546,      4.598546,      3.672259,      8.090170
  2.000000e-03,      0.756314,      0.756314,      0.756314,      8.090170,      4.308599,      4.308599,      3.781571,      7.901550
  2.100000e-03,      0.776721,      0.776721,      0.776721,      7.901550,      4.017946,      4.017946,      3.883604,      7.705132
  2.200000e-03,      0.795670,      0.795670,      0.795670,      7.705132,      3.726783,      3.726783,      3.978349,      7.501111
  2.300000e-03,      0.813161,      0.813161,      0.813161,      7.501111,      3.435308,      3.435308,      4.065803,      7.289686
  2.400000e-03,      0.829193,      0.829193,      0.829193,      7.289686,      3.143721,      3.143721,      4.145965,      7.071068
  2.500000e-03,      0.843769,      0.843769,      0.843769,      7.071068,      2.852225,      2.852225,      4.218843,      6.845471
  2.600000e-03,      0.856889,      0.856889,      0.856889,      6.845471,      2.561026,      2.561026,      4.284445,      6.613119
  2.700000e-03,      0.868558,      0.868558,      0.868558,      6.613119,      2.270331,      2.270331,      4.342788,      6.374240
  2.800000e-03,      0.878770,      0.878770,      0.878770,      6.374240,      1.980391,      1.980391,      4.393849,      6.129071
  2.900000e-03,      0.887332,      0.887332,      0.887332,      6.129071,      1.692412,      1.692412,      4.436658,      5.877853
  3.000000e-03,      0.894712,      0.894712,      0.894712,      5.877853,      1.404295,      1.404295,      4.473558,      5.620834
  3.100000e-03,      0.900615,      0.900615,      0.900615,      5.620834,      1.117761,      1.117761,      4.503073,      5.358268
  3.200000e-03,      0.905287,      0.905287,      0.905287,      5.358268,      0.831832,      0.831832,      4.526436,      5.090414
  3.300000e-03,      0.908242,      0.908242,      0.908242,      5.090414,      0.549206,      0.549206,      4.541208,      4.817537
  3.400000e-03,      0.909997,      0.909997,      0.909997,      4.817537,      0.267554,      0.267554,      4.549983,      4.539905
  3.500000e-03,      0.910042,      0.910042,      0.910042,      4.539905,     -0.010306,     -0.010306,      4.550211,      4.257793
  3.600000e-03,      0.908950,      0.908950,      0.908950,      4.257793,     -0.286957,     -0.286957,      4.544750,      3.971479
  3.700000e-03,      0.906334,      0.906334,      0.906334,      3.971479,     -0.560193,     -0.560193,      4.531671,      3.681246
  3.800000e-03,      0.902211,      0.902211,      0.902211,      3.681246,     -0.829809,     -0.829809,      4.511055,      3.387379
  3.900000e-03,      0.897231,      0.897231,      0.897231,      3.387379,     -1.098778,     -1.098778,      4.486157,      3.090170
  4.000000e-03,      0.890441,      0.890441,      0.890441,      3.090170,     -1.362034,     -1.362034,      4.452204,      2.789911
  4.100000e-03,      0.882327,      0.882327,      0.882327,      2.789911,     -1.621726,     -1.621726,      4.411637,      2.486899
  4.200000e-03,      0.872907,      0.872907,      0.872907,      2.486899,     -1.877639,     -1.877639,      4.364537,      2.181432
  4.300000e-03,      0.862396,      0.862396,      0.862396,      2.181432,     -2.130547,     -2.130547,      4.311979,      1.873813
  4.400000e-03,      0.850646,      0.850646,      0.850646,      1.873813,     -2.379419,     -2.379419,      4.253232,      1.564345
  4.500000e-03,      0.837766,      0.837766,      0.837766,      1.564345,     -2.624484,     -2.624484,      4.188829,      1.253332
  4.600000e-03,      0.823333,      0.823333,      0.823333,      1.253332,     -2.863335,     -2.863335,      4.116667,      0.941083
  4.700000e-03,      0.808025,      0.808025,      0.808025,      0.941083,     -3.099041,     -3.099041,      4.040124,      0.627905
  4.800000e-03,      0.791326,      0.791326,      0.791326,      0.627905,     -3.328727,     -3.328727,      3.956632,      0.314108
  4.900000e-03,      0.774035,      0.774035,      0.774035,      0.314108,     -3.556070,     -3.556070,      3.870177,     -0.000000
  5.000000e-03,      0.755136,      0.755136,      0.755136,     -0.000000,     -3.775681,     -3.775681,      3.775681,     -0.314108
  5.100000e-03,      0.735111,      0.735111,      0.735111,     -0.314108,     -3.989663,     -3.989663,      3.675556,     -0.627905
